event_id,event_type,location,venue_type,venue_name,guest_count,season,event_date,duration_hours,photography_cost,photographer_name,photographer_contact,photographer_rating,photographer_experience,decoration_cost,decorator_name,decorator_contact,decorator_rating,decorator_experience,catering_cost,catering_per_person,caterer_name,caterer_contact,caterer_rating,caterer_experience,venue_cost,venue_contact,music_dj_cost,music_dj_name,music_dj_contact,music_dj_rating,music_dj_experience,videography_cost,videographer_name,videographer_contact,videographer_rating,videographer_experience,miscellaneous_cost,total_cost,total budget,cost_per_guest,has_music,has_videography,payment_status,booking_advance
EV0020,Birthday,Colombo,Garden Venue,Garden Venue - Colombo,60,Regular Season,15/11/2024,10,46754,Moments Captured,077-5074336,4.7,12,75845,Stylish Setups,077-2709620,4.5,8,96011,1600,Royal Caterers,077-6059717,4.8,15,249244,011-9132776,0,N/A,N/A,0,0,104146,Epic Moments,077-3030966,4.9,14,48434,614022,"100,019",10233,No,Yes,Paid,165442
EV0021,Anniversary,Jaffna,Community Hall,Community Hall - Jaffna,43,Peak Season (Dec-Jan),27/03/2025,5,54687,Dream Shots,077-2453962,4.3,5,104223,Stylish Setups,077-5679639,4.5,8,50251,1168,Royal Caterers,077-8563202,4.8,15,65110,011-4045674,0,N/A,N/A,0,0,0,N/A,N/A,0,0,51269,364716,"100,020",8481,No,No,Partial,114509
EV0022,Anniversary,Jaffna,Home Garden,Home Garden - Jaffna,123,Peak Season (Dec-Jan),06/06/2024,12,45679,Moments Captured,077-8987516,4.7,12,71394,Stylish Setups,077-9234615,4.5,8,177193,1440,Divine Dishes,077-8519121,4.6,8,37566,011-8651603,70549,DJ Paradise,077-1289293,4.7,11,59466,Perfect Motion,077-2561176,4.4,6,44119,504986,"100,021",4105,Yes,Yes,Paid,123377
EV0023,Birthday,Kurunegala,Community Hall,Community Hall - Kurunegala,90,Regular Season,13/06/2025,4,43035,Vision Studios,077-5638893,4.5,7,51678,Luxury Decor,077-9801946,4.8,14,136800,1520,Flavors Catering,077-5747930,4.4,7,37907,011-2843274,55118,Music Magic,077-4256752,4.5,7,79950,Cinematic Dreams,077-5970190,4.8,12,22133,468310,"100,022",5203,Yes,Yes,Paid,127462
EV0024,Corporate Event,Colombo,Garden Venue,Garden Venue - Colombo,120,Regular Season,04/11/2025,5,40791,Sunset Photography,077-9014965,4.8,10,100524,Elegant Decor,077-2914064,4.6,8,393287,3277,Delicious Bites,077-2096280,4.3,6,272144,011-5361377,0,N/A,N/A,0,0,0,N/A,N/A,0,0,30914,953435,"100,023",7945,No,No,Partial,204813
EV0025,Wedding,Kandy,Restaurant,Restaurant - Kandy,193,Peak Season (Dec-Jan),28/05/2025,10,66576,Elite Photography,077-2362099,4.9,15,105439,Flower Paradise,077-3634980,4.8,12,280100,1451,Delicious Bites,077-5024269,4.3,6,133016,011-3458053,27539,Music Magic,077-2259379,4.5,7,80444,Video Art Studio,077-3626181,4.5,7,18978,706541,"100,024",3660,Yes,Yes,Paid,199035
EV0026,Engagement,Matara,Hotel Ballroom,Hotel Ballroom - Matara,139,Off Season (May-Sep),14/10/2025,3,30525,Candid Clicks,077-6160869,4.4,6,44260,Classic Touch,077-5842082,4.4,6,368947,2654,Elite Catering,077-8367772,4.8,16,265404,011-3043154,87486,Party Beats,077-8863447,4.5,8,52148,Cinematic Dreams,077-6101803,4.8,12,21253,855393,"100,025",6153,Yes,Yes,Partial,332350
EV0027,Engagement,Batticaloa,Home Garden,Home Garden - Batticaloa,100,Off Season (May-Sep),17/03/2025,4,25401,Golden Hour Photography,077-8312936,4.7,13,24246,Elegant Decor,077-9249789,4.6,8,88830,888,Heritage Foods,077-2530793,4.7,13,13491,011-5942732,48609,DJ Paradise,077-6837817,4.7,11,0,N/A,N/A,0,0,35082,270863,"100,026",2708,Yes,No,Partial,72228
EV0028,Wedding,Kandy,Temple Hall,Temple Hall - Kandy,403,Off Season (May-Sep),21/12/2024,8,27257,Candid Clicks,077-8416216,4.4,6,49473,Floral Fantasy,077-1865901,4.6,9,609900,1513,Delicious Bites,077-4415140,4.3,6,54308,011-4240230,0,N/A,N/A,0,0,48636,Epic Moments,077-3198037,4.9,14,50572,925243,"100,027",2295,No,Yes,Paid,266121
EV0029,Anniversary,Galle,Convention Center,Convention Center - Galle,80,Peak Season (Dec-Jan),30/08/2024,4,50484,Candid Clicks,077-3426689,4.4,6,58398,Luxury Decor,077-7435505,4.8,14,167520,2094,Taste of Ceylon,077-4197911,4.7,12,218964,011-9733190,56674,Music Magic,077-9526867,4.5,7,0,N/A,N/A,0,0,49945,626881,"100,028",7836,Yes,No,Paid,233704
EV0030,Corporate Event,Anuradhapura,Restaurant,Restaurant - Anuradhapura,260,Off Season (May-Sep),20/05/2024,6,24119,Sunset Photography,077-7891662,4.8,10,47855,Classic Touch,077-1732280,4.4,6,470041,1807,Gourmet Lanka,077-6338112,4.9,18,121117,011-8247039,0,N/A,N/A,0,0,71925,Perfect Motion,077-8935224,4.4,6,24367,756927,"100,029",2911,No,Yes,Partial,209832
EV0031,Birthday,Matara,Garden Venue,Garden Venue - Matara,94,Peak Season (Dec-Jan),24/01/2025,12,60394,Golden Hour Photography,077-9952696,4.7,13,85721,Modern Elegance,077-7375499,4.7,10,85925,914,Royal Caterers,077-6312692,4.8,15,277640,011-7257972,50653,Live Band Entertainment,077-9186400,4.9,15,79845,Cinema Visions,077-1602286,4.8,11,16789,712724,"100,030",7582,Yes,Yes,Paid,176010
EV0032,Corporate Event,Negombo,Beach Resort,Beach Resort - Negombo,161,Regular Season,05/07/2025,4,43515,Creative Lens Studio,077-7418028,4.5,8,39871,Flower Paradise,077-5040453,4.8,12,179917,1117,Elite Catering,077-9349470,4.8,16,205888,011-9657364,71360,Elite Entertainment,077-3401116,4.8,12,0,N/A,N/A,0,0,27250,548378,"100,031",3406,Yes,No,Paid,160252
EV0033,Corporate Event,Matara,Hotel Ballroom,Hotel Ballroom - Matara,280,Off Season (May-Sep),20/05/2024,5,36908,Perfect Frames,077-5953150,4.8,11,49224,Classic Touch,077-1368085,4.4,6,616924,2203,Delicious Bites,077-7640518,4.3,6,185523,011-4302508,0,N/A,N/A,0,0,50099,Cinema Visions,077-1135861,4.8,11,38492,1040649,"100,032",3716,No,Yes,Paid,397656
EV0034,Anniversary,Kurunegala,Community Hall,Community Hall - Kurunegala,96,Peak Season (Dec-Jan),30/06/2025,4,36637,Elite Photography,077-7138070,4.9,15,92457,Creative Designs,077-9906224,4.3,5,203808,2123,Gourmet Lanka,077-9418719,4.9,18,88376,011-9662884,41411,Elite Entertainment,077-5572250,4.8,12,0,N/A,N/A,0,0,37230,488136,"100,033",5084,Yes,No,Paid,122714
EV0035,Anniversary,Kurunegala,Community Hall,Community Hall - Kurunegala,69,Regular Season,01/12/2024,12,38022,Perfect Frames,077-7232293,4.8,11,66524,Flower Paradise,077-2817745,4.8,12,106881,1549,Spice Garden Catering,077-4922880,4.5,10,38099,011-5955034,64062,Rhythm Masters,077-1419843,4.6,9,47181,Perfect Motion,077-6503032,4.4,6,48309,440867,"100,034",6389,Yes,Yes,Paid,145279
EV0036,Anniversary,Kurunegala,Temple Hall,Temple Hall - Kurunegala,69,Regular Season,25/02/2024,3,28805,Moments Captured,077-7847048,4.7,12,36369,Elegant Decor,077-5693260,4.6,8,88320,1280,Taste of Ceylon,077-1548888,4.7,12,55402,011-7790493,67618,Celebration Sounds,077-7216461,4.4,6,40126,Epic Moments,077-4645180,4.9,14,37189,395134,"100,035",5726,Yes,Yes,Partial,114169
EV0037,Birthday,Jaffna,Community Hall,Community Hall - Jaffna,99,Peak Season (Dec-Jan),28/05/2025,8,39587,Royal Pictures,077-4909069,4.6,9,81627,Elegant Decor,077-6512314,4.6,8,102598,1036,Heritage Foods,077-3475548,4.7,13,70783,011-8615623,25720,Celebration Sounds,077-1047572,4.4,6,88601,Motion Pictures,077-5651899,4.6,9,48636,454436,"100,036",4590,Yes,Yes,Paid,180640
EV0038,Engagement,Kurunegala,Beach Resort,Beach Resort - Kurunegala,249,Peak Season (Dec-Jan),21/12/2024,8,42634,Sunset Photography,077-8583392,4.8,10,89168,Dream Decorations,077-9453010,4.5,7,364287,1463,Taste of Ceylon,077-4716988,4.7,12,254380,011-9930721,24165,DJ Paradise,077-1727544,4.7,11,61211,Perfect Motion,077-9748499,4.4,6,39378,935379,"100,037",3756,Yes,Yes,Paid,272764
EV0039,Wedding,Colombo,Temple Hall,Temple Hall - Colombo,368,Off Season (May-Sep),16/04/2024,6,42309,Creative Lens Studio,077-2919549,4.5,8,83139,Stylish Setups,077-4607488,4.5,8,568265,1544,Elite Catering,077-8215376,4.8,16,53504,011-5787917,0,N/A,N/A,0,0,0,N/A,N/A,0,0,60383,783239,"100,038",2128,No,No,Paid,221470
EV0040,Anniversary,Anuradhapura,Beach Resort,Beach Resort - Anuradhapura,120,Off Season (May-Sep),23/01/2025,10,32736,Dream Shots,077-6932391,4.3,5,27777,Modern Elegance,077-8095702,4.7,10,112403,936,Gourmet Lanka,077-1863121,4.9,18,140859,011-4412810,55512,DJ Paradise,077-6242022,4.7,11,63463,Motion Pictures,077-6899644,4.6,9,44469,465024,"100,039",3875,Yes,Yes,Paid,146753
EV0041,Birthday,Kandy,Home Garden,Home Garden - Kandy,58,Regular Season,13/01/2025,5,39247,Creative Lens Studio,077-3403361,4.5,8,77767,Modern Elegance,077-7724045,4.7,10,84242,1452,Delicious Bites,077-2167449,4.3,6,19431,011-3190130,75959,DJ Paradise,077-1514340,4.7,11,0,N/A,N/A,0,0,34786,315265,"100,040",5435,Yes,No,Paid,110097
EV0042,Birthday,Anuradhapura,Home Garden,Home Garden - Anuradhapura,73,Off Season (May-Sep),30/09/2024,6,35205,Moments Captured,077-9595744,4.7,12,55777,Modern Elegance,077-2909540,4.7,10,67477,924,Gourmet Lanka,077-6791039,4.9,18,35561,011-5606376,49236,DJ Paradise,077-2860421,4.7,11,0,N/A,N/A,0,0,47295,291897,"100,041",3998,Yes,No,Paid,97973
EV0043,Engagement,Matara,Restaurant,Restaurant - Matara,91,Regular Season,01/08/2024,8,34867,Elite Photography,077-6941939,4.9,15,54728,Floral Fantasy,077-2209226,4.6,9,123323,1355,Feast Makers,077-7661748,4.6,9,72298,011-9229003,49408,Sound Wave DJs,077-1709714,4.7,10,71393,Cinema Visions,077-8318550,4.8,11,27588,484194,"100,042",5320,Yes,Yes,Paid,141360
EV0044,Wedding,Jaffna,Temple Hall,Temple Hall - Jaffna,443,Regular Season,07/10/2025,6,26967,Dream Shots,077-6696087,4.3,5,53848,Floral Fantasy,077-4717362,4.6,9,535387,1208,Gourmet Lanka,077-6587964,4.9,18,28283,011-8535714,0,N/A,N/A,0,0,59055,Epic Moments,077-3820798,4.9,14,46554,843184,"100,043",1903,No,Yes,Paid,254723
EV0045,Wedding,Batticaloa,Convention Center,Convention Center - Batticaloa,328,Regular Season,08/03/2024,10,30048,Royal Pictures,077-6422534,4.6,9,38635,Dream Decorations,077-6303930,4.5,7,340956,1039,Divine Dishes,077-3532644,4.6,8,107777,011-5688997,44477,Party Beats,077-2145653,4.5,8,67174,Motion Pictures,077-8867190,4.6,9,42294,770256,"100,044",2348,Yes,Yes,Partial,251316
EV0046,Corporate Event,Nuwara Eliya,Community Hall,Community Hall - Nuwara Eliya,179,Peak Season (Dec-Jan),22/09/2024,12,45400,Creative Lens Studio,077-4158134,4.5,8,91538,Classic Touch,077-6394323,4.4,6,322754,1803,Elite Catering,077-8979730,4.8,16,116496,011-6205773,0,N/A,N/A,0,0,86225,Cinema Visions,077-3531028,4.8,11,16494,722581,"100,045",4036,No,Yes,Paid,209624
EV0047,Corporate Event,Galle,Garden Venue,Garden Venue - Galle,60,Regular Season,11/03/2025,5,44660,Elite Photography,077-3522845,4.9,15,58246,Stylish Setups,077-6592886,4.5,8,114696,1911,Elite Catering,077-2367376,4.8,16,202780,011-6888373,0,N/A,N/A,0,0,79879,Dream Videos,077-3372774,4.7,10,42399,594075,"100,046",9901,No,Yes,Paid,155675
EV0048,Anniversary,Kandy,Beach Resort,Beach Resort - Kandy,119,Regular Season,13/06/2025,4,48585,Vision Studios,077-3599548,4.5,7,41542,Floral Fantasy,077-2294615,4.6,9,290532,2441,Flavors Catering,077-5962567,4.4,7,300141,011-9083578,80741,Elite Entertainment,077-2696860,4.8,12,0,N/A,N/A,0,0,48148,931138,"100,047",7824,Yes,No,Paid,309497
EV0049,Engagement,Kandy,Temple Hall,Temple Hall - Kandy,119,Regular Season,11/06/2025,5,45242,Moments Captured,077-8391997,4.7,12,37792,Dream Decorations,077-8745704,4.5,7,224570,1887,Feast Makers,077-5727345,4.6,9,44473,011-8527377,41025,Elite Entertainment,077-7406756,4.8,12,57823,Cinematic Dreams,077-9437374,4.8,12,46847,540411,"100,048",4541,Yes,Yes,Partial,212518
EV0050,Birthday,Nuwara Eliya,Restaurant,Restaurant - Nuwara Eliya,36,Peak Season (Dec-Jan),29/11/2025,6,70819,Perfect Frames,077-9422281,4.8,11,64507,Modern Elegance,077-7274032,4.7,10,64724,1797,Delicious Bites,077-4955699,4.3,6,198213,011-5239396,101367,Party Beats,077-2369112,4.5,8,0,N/A,N/A,0,0,42783,521069,"100,049",14474,Yes,No,Paid,127613
EV0051,Corporate Event,Galle,Community Hall,Community Hall - Galle,252,Regular Season,19/10/2024,3,48577,Moments Captured,077-4986941,4.7,12,90740,Dream Decorations,077-6052478,4.5,7,327801,1300,Taste of Ceylon,077-3044276,4.7,12,37494,011-2400551,81192,Celebration Sounds,077-5000351,4.4,6,83883,Perfect Motion,077-8043503,4.4,6,53505,799296,"100,050",3171,Yes,Yes,Partial,169899
EV0052,Anniversary,Nuwara Eliya,Hotel Ballroom,Hotel Ballroom - Nuwara Eliya,171,Regular Season,25/07/2024,12,32566,Golden Hour Photography,077-1341153,4.7,13,91379,Royal Events Decor,077-7550726,4.9,15,338340,1978,Spice Garden Catering,077-8887557,4.5,10,237980,011-2365193,0,N/A,N/A,0,0,83817,Epic Moments,077-7490791,4.9,14,59352,967980,"100,051",5660,No,Yes,Paid,242701
EV0053,Wedding,Jaffna,Community Hall,Community Hall - Jaffna,273,Peak Season (Dec-Jan),01/03/2025,4,49882,Creative Lens Studio,077-4346548,4.5,8,89793,Creative Designs,077-1703065,4.3,5,427968,1567,Flavors Catering,077-6294819,4.4,7,83757,011-9829683,74411,Elite Entertainment,077-6202210,4.8,12,62993,Cinema Visions,077-9646701,4.8,11,13044,768780,"100,052",2816,Yes,Yes,Partial,305839
EV0054,Engagement,Matara,Hotel Ballroom,Hotel Ballroom - Matara,245,Off Season (May-Sep),15/12/2024,12,33544,Elite Photography,077-2385991,4.9,15,44791,Classic Touch,077-8121922,4.4,6,284053,1159,Flavors Catering,077-2324175,4.4,7,202403,011-5612194,71890,Sound Wave DJs,077-4027557,4.7,10,0,N/A,N/A,0,0,46865,720358,"100,053",2940,Yes,No,Paid,190349
EV0055,Wedding,Jaffna,Restaurant,Restaurant - Jaffna,306,Regular Season,19/07/2024,12,41522,Perfect Frames,077-3684131,4.8,11,55689,Creative Designs,077-1522452,4.3,5,551029,1800,Heritage Foods,077-3395441,4.7,13,137118,011-9119154,64869,Elite Entertainment,077-8351320,4.8,12,59452,Cinematic Dreams,077-1583829,4.8,12,35499,1039676,"100,054",3397,Yes,Yes,Paid,221915
EV0056,Corporate Event,Jaffna,Hotel Ballroom,Hotel Ballroom - Jaffna,204,Off Season (May-Sep),25/11/2024,8,24560,Moments Captured,077-5366937,4.7,12,60343,Stylish Setups,077-8487220,4.5,8,231550,1135,Flavors Catering,077-4599894,4.4,7,230973,011-7132797,33801,DJ Paradise,077-5791184,4.7,11,65840,Epic Moments,077-9240971,4.9,14,46126,674859,"100,055",3308,Yes,Yes,Paid,151524
EV0057,Wedding,Matara,Home Garden,Home Garden - Matara,194,Peak Season (Dec-Jan),22/12/2024,8,43130,Royal Pictures,077-8841768,4.6,9,109608,Modern Elegance,077-3177199,4.7,10,480790,2478,Royal Caterers,077-2446455,4.8,15,40284,011-2551535,78976,Celebration Sounds,077-6189037,4.4,6,68613,Dream Videos,077-7680015,4.7,10,12894,888069,"100,056",4577,Yes,Yes,Partial,270984
EV0058,Anniversary,Nuwara Eliya,Garden Venue,Garden Venue - Nuwara Eliya,121,Peak Season (Dec-Jan),31/12/2023,4,72779,Creative Lens Studio,077-9705660,4.5,8,121560,Stylish Setups,077-5765539,4.5,8,315071,2603,Elite Catering,077-2323049,4.8,16,231029,011-4102229,0,N/A,N/A,0,0,52798,Motion Pictures,077-4293399,4.6,9,40488,849736,"100,057",7022,No,Yes,Paid,191219
EV0059,Corporate Event,Nuwara Eliya,Beach Resort,Beach Resort - Nuwara Eliya,178,Regular Season,04/08/2024,10,58277,Moments Captured,077-6068298,4.7,12,67763,Creative Designs,077-9102469,4.3,5,452155,2540,Feast Makers,077-5108369,4.6,9,204668,011-8750213,78660,Elite Entertainment,077-7813102,4.8,12,0,N/A,N/A,0,0,15579,928952,"100,058",5218,Yes,No,Paid,270054
EV0060,Wedding,Kandy,Temple Hall,Temple Hall - Kandy,397,Off Season (May-Sep),22/09/2024,4,34665,Perfect Frames,077-1849015,4.8,11,76358,Royal Events Decor,077-5868949,4.9,15,688020,1733,Flavors Catering,077-7444964,4.4,7,26351,011-9249131,32233,Elite Entertainment,077-8015136,4.8,12,0,N/A,N/A,0,0,31658,869876,"100,059",2191,Yes,No,Paid,341458
EV0061,Birthday,Jaffna,Community Hall,Community Hall - Jaffna,54,Regular Season,26/02/2024,10,36865,Moments Captured,077-1137194,4.7,12,65724,Stylish Setups,077-2803501,4.5,8,48024,889,Delicious Bites,077-8229768,4.3,6,46303,011-3123527,40359,Live Band Entertainment,077-5437118,4.9,15,65554,Epic Moments,077-7136730,4.9,14,51615,370081,"100,060",6853,Yes,Yes,Partial,101101
EV0062,Anniversary,Colombo,Convention Center,Convention Center - Colombo,132,Regular Season,06/06/2025,8,55659,Vision Studios,077-9389915,4.5,7,92449,Classic Touch,077-1675365,4.4,6,253545,1920,Royal Caterers,077-1760064,4.8,15,183603,011-2326434,0,N/A,N/A,0,0,75544,Video Art Studio,077-3299088,4.5,7,27235,723692,"100,061",5482,No,Yes,Paid,261103
EV0063,Engagement,Matara,Garden Venue,Garden Venue - Matara,163,Peak Season (Dec-Jan),26/10/2024,8,49771,Golden Hour Photography,077-1447065,4.7,13,98541,Modern Elegance,077-8962302,4.7,10,266798,1636,Spice Garden Catering,077-5454861,4.5,10,214176,011-7499495,45878,Music Magic,077-4817541,4.5,7,0,N/A,N/A,0,0,18901,702071,"100,062",4307,Yes,No,Paid,222349
EV0064,Birthday,Batticaloa,Temple Hall,Temple Hall - Batticaloa,48,Regular Season,28/01/2025,10,23058,Elite Photography,077-7322070,4.9,15,53012,Elegant Decor,077-6263895,4.6,8,62294,1297,Feast Makers,077-3905518,4.6,9,45816,011-5855937,48592,Party Beats,077-9944387,4.5,8,39229,Motion Pictures,077-6743294,4.6,9,42082,328428,"100,063",6842,Yes,Yes,Paid,110080
